atom1,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,La,Hf,Ta,W,Re,Os,Ir,Pt,Au,Th
Sc,1.65,,,,,,,,,,,,,,,4.56,,,,,,,,,,,2.87,
Ti,,1.23,,,,,,,,,,,,,,4.01,,,,,,,,,,4.08,,
V,,,2.49,,,,,,,,,,,,4.25,3.73,,,,,,,,,,,2.51,
Cr,,,,1.78,,,,,1.6,,,,,,,,,,,,,,,,,,2.28,
Mn,,,,,0.8,,,,,,,,,,,,,0.99,,,,,,,,,2.01,
Fe,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,1.9,
Co,,,,,,,0.95,,1.63,,,,,,,,,,,,,,,,,,2.22,
Ni,,,,,,,,2.068,2.08,,,,,,,,,,,,,,,,,,2.55,
Cu,,,,1.6,,,1.63,2.08,2.01,,,,,,,,,1.76,,,,,,,,,2.34,
Y,,,,,,,,,,1.62,,,,,,4.58,2.46,,2.05,,,,,,4.75,4.87,3.19,
Zr,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,
Nb,,,,,,,,,,,,5,4.64,,,,,,,,,,,,4.78,,,
Mo,,,,,,,,,,,,4.64,4.38,,,,,,,,,,,,,,,
Tc,,,,,,,,,,,,,,3.17,,,,,,,,,,,,,,
Ru,,,4.25,,,,,,,,,,,,3.29,,,,,,,,,,,,,
Rh,4.56,4.01,3.73,,,,,,,4.58,,,,,,2.92,,,5.44,,,,,,,,2.37,
Pd,,,,,,,,,,2.46,,,,,,,1.03,,,,,,,,,,1.44,
Ag,,,,,0.99,,,,1.76,,,,,,,,,1.65,,,,,,,,,2.06,
La,,,,,,,,,,2.05,,,,,,5.44,,,2.5,,,,,,5.94,5.14,3.44,
Hf,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,
Ta,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
W,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
Re,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
Os,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,
Ir,,,,,,,,,,4.75,,4.78,,,,,,,5.94,,,,,,3.7,,,
Pt,,4.08,,,,,,,,4.87,,,,,,,,,5.14,,,,,,,3.71,,
Au,2.87,,2.51,2.28,2.01,1.9,2.22,2.55,2.34,3.19,,,,,,2.37,1.44,2.06,3.44,,,,,,,,2.29,
Th,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074
