Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,La,Hf,Ta,W,Re,Os,Ir,Pt,Au,Th
Sc,1.65,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.56,None,None,None,None,None,None,None,None,None,None,2.87,None
Ti,None,1.23,None,None,None,None,None,None,None,None,None,None,None,None,None,4.01,None,None,None,None,None,None,None,None,None,4.08,None,None
V,None,None,2.49,None,None,None,None,None,None,None,None,None,None,None,4.25,3.73,None,None,None,None,None,None,None,None,None,None,2.51,None
Cr,None,None,None,1.78,None,None,None,None,1.6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.28,None
Mn,None,None,None,None,0.8,None,None,None,None,None,None,None,None,None,None,None,None,0.99,None,None,None,None,None,None,None,None,2.01,None
Fe,None,None,None,None,None,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.9,None
Co,None,None,None,None,None,None,0.95,None,1.63,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.22,None
Ni,None,None,None,None,None,None,None,2.068,2.08,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.55,None
Cu,None,None,None,1.6,None,None,1.63,2.08,2.01,None,None,None,None,None,None,None,None,1.76,None,None,None,None,None,None,None,None,2.34,None
Y,None,None,None,None,None,None,None,None,None,1.62,None,None,None,None,None,4.58,2.46,None,2.05,None,None,None,None,None,4.75,4.87,3.19,None
Zr,None,None,None,None,None,None,None,None,None,None,3.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Nb,None,None,None,None,None,None,None,None,None,None,None,5,4.64,None,None,None,None,None,None,None,None,None,None,None,4.78,None,None,None
Mo,None,None,None,None,None,None,None,None,None,None,None,4.64,4.38,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Tc,None,None,None,None,None,None,None,None,None,None,None,None,None,3.17,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Ru,None,None,4.25,None,None,None,None,None,None,None,None,None,None,None,3.29,None,None,None,None,None,None,None,None,None,None,None,None,None
Rh,4.56,4.01,3.73,None,None,None,None,None,None,4.58,None,None,None,None,None,2.92,None,None,5.44,None,None,None,None,None,None,None,2.37,None
Pd,None,None,None,None,None,None,None,None,None,2.46,None,None,None,None,None,None,1.03,None,None,None,None,None,None,None,None,None,1.44,None
Ag,None,None,None,None,0.99,None,None,None,1.76,None,None,None,None,None,None,None,None,1.65,None,None,None,None,None,None,None,None,2.06,None
La,None,None,None,None,None,None,None,None,None,2.05,None,None,None,None,None,5.44,None,None,2.5,None,None,None,None,None,5.94,5.14,3.44,None
Hf,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.4,None,None,None,None,None,None,None,None
Ta,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,None,None,None,None,None,None,None
W,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,None,None,None,None,None,None
Re,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,None,None,None,None,None
Os,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.3,None,None,None,None
Ir,None,None,None,None,None,None,None,None,None,4.75,None,4.78,None,None,None,None,None,None,5.94,None,None,None,None,None,3.7,None,None,None
Pt,None,4.08,None,None,None,None,None,None,None,4.87,None,None,None,None,None,None,None,None,5.14,None,None,None,None,None,None,3.71,None,None
Au,2.87,None,2.51,2.28,2.01,1.9,2.22,2.55,2.34,3.19,None,None,None,None,None,2.37,1.44,2.06,3.44,None,None,None,None,None,None,None,2.29,None
Th,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.074
